Mohamed Salah, 31, Egypt, RW, 90, 65, 90, 75, 80, 80, 30, 50, 85, 85, 75, 80, 80, 55, 40, 85, 88, 75, 75, 40, 80, 0, 0, Liverpool
Virgil van Dijk, 32, Netherlands, CB, 75, 90, 40, 80, 65, 30, 85, 85, 85, 75, 85, 80, 75, 85, 80, 40, 75, 75, 85, 85, 60, 0, 0, Liverpool
Alisson, 30, Brazil, GK, 40, 95, 5, 70, 50, 15, 15, 35, 75, 55, 75, 80, 85, 55, 90, 55, 65, 60, 75, 70, 80, 82, 73, Liverpool
Cody Gakpo, 26, Netherlands, LW, 70, 95, 80, 80, 80, 60, 45, 65, 85, 75, 75, 75, 75, 70, 75, 85, 85, 75, 75, 70, 80, 0, 0, Liverpool
Federico Chiesa, 27, Italy, LW, 80, 85, 75, 75, 85, 60, 45, 40, 80, 75, 75, 70, 80, 65, 70, 85, 90, 75, 70, 60, 85, 0, 0, Liverpool
Hugo Ekitike, 23, France, ST, 75, 80, 75, 70, 75, 25, 30, 75, 80, 65, 70, 70, 70, 60, 65, 80, 85, 70, 70, 75, 75, 0, 0, Liverpool
Alexis Mac Allister, 26, Argentina, CDM, 70, 95, 70, 85, 80, 70, 75, 55, 85, 85, 85, 85, 85, 75, 80, 80, 70, 80, 70, 60, 80, 0, 0, Liverpool
Dominik Szoboszlai, 24, Hungary, CAM, 75, 95, 80, 85, 80, 80, 50, 50, 85, 85, 75, 80, 80, 75, 75, 80, 85, 80, 75, 60, 80, 0, 0, Liverpool
Ryan Gravenberch, 23, Netherlands, CDM, 75, 95, 65, 80, 85, 55, 65, 65, 85, 80, 75, 75, 70, 70, 75, 80, 80, 75, 80, 70, 80, 0, 0, Liverpool
Florian Wirtz, 22, Germany, CAM, 85, 95, 75, 85, 90, 65, 40, 35, 90, 90, 80, 80, 80, 65, 75, 90, 85, 70, 65, 50, 95, 0, 0, Liverpool
Ibrahima Konate, 26, France, CB, 65, 90, 30, 65, 60, 25, 85, 85, 70, 55, 70, 75, 70, 70, 85, 45, 90, 70, 90, 90, 65, 0, 0, Liverpool
Joe Gomez, 28, England, CB, 70, 90, 30, 70, 70, 65, 80, 80, 75, 65, 70, 75, 75, 70, 80, 65, 85, 75, 80, 80, 75, 0, 0, Liverpool
Milos Kerkez, 21, Hungary, LB, 95, 70, 50, 70, 70, 80, 75, 60, 75, 70, 70, 75, 85, 70, 75, 75, 85, 85, 70, 70, 80, 0, 0, Liverpool
Andrew Robertson, 31, Scotland, LB, 95, 65, 55, 80, 70, 90, 80, 65, 75, 80, 80, 80, 90, 85, 75, 85, 85, 90, 70, 70, 80, 0, 0, Liverpool
Conor Bradley, 22, Northern Ireland, RB, 65, 90, 60, 70, 75, 75, 75, 65, 75, 70, 70, 75, 85, 75, 75, 75, 85, 85, 70, 70, 80, 0, 0, Liverpool
Giorgi Mamardashvili, 24, Georgia, GK, 70, 45, 10, 55, 20, 25, 20, 20, 55, 60, 75, 70, 55, 60, 70, 30, 60, 65, 85, 80, 65, 81, 58, Liverpool

Heung-Min Son, 31, SouthKorea, LW, 85, 90, 90, 65, 60, 60, 30, 40, 65, 60, 85, 75, 85, 85, 35, 85, 80, 80, 50, 50, 70, 0, 0, Tottenham Hotspur
